date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:52	111489/111489	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:52%20GMT	https://gh.usembassy.gov/u-s-citizen-services/child-family-matters/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/child-family-matters/index.html	(from https://gh.usembassy.gov/)
15:03:52	5217/5217	---M--	200	added ('OK')	image/jpeg	etag:%226d754f31acca121e21f36615000af9b7%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/UERPC-Renovation-175x105.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/UERPC-Renovation-175x105.jpg	(from https://gh.usembassy.gov/)
15:03:53	116383/116383	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:52%20GMT	https://gh.usembassy.gov/u-s-citizen-services/child-family-matters/birth/ecrba/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/child-family-matters/birth/ecrba/index.html	(from https://gh.usembassy.gov/)
15:03:53	113147/113147	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:52%20GMT	https://gh.usembassy.gov/u-s-citizen-services/attorneys/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/attorneys/index.html	(from https://gh.usembassy.gov/)
15:03:53	7596/7596	---M--	200	added ('OK')	image/jpeg	etag:%221bf56a597fb55391ea6f1b623cf4f750%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/National-Quality-Forum-participants-with-the-revised-strategy-175x105.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/National-Quality-Forum-participants-with-the-revised-strategy-175x105.jpg	(from https://gh.usembassy.gov/)
15:03:54	112572/112572	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:53%20GMT	https://gh.usembassy.gov/u-s-citizen-services/notarial-services/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/notarial-services/index.html	(from https://gh.usembassy.gov/)
15:03:54	113498/113498	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:53%20GMT	https://gh.usembassy.gov/u-s-citizen-services/doctors/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/doctors/index.html	(from https://gh.usembassy.gov/)
15:03:54	132046/132046	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:54%20GMT	https://gh.usembassy.gov/u-s-citizen-services/internal-revenue-service-u-s-taxes/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/internal-revenue-service-u-s-taxes/index.html	(from https://gh.usembassy.gov/)
15:03:54	8894/8894	---M--	200	added ('OK')	image/jpeg	etag:%220ce1a396b7c777e1a9edf142517cf42d%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/USAID-Care-Continuum-Photo-2-175x105.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/USAID-Care-Continuum-Photo-2-175x105.jpg	(from https://gh.usembassy.gov/)
15:03:55	111570/111570	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:54%20GMT	https://gh.usembassy.gov/u-s-citizen-services/selective-service-registration/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/selective-service-registration/index.html	(from https://gh.usembassy.gov/)
